iter	Accuracy	MultiClass
0	0.4106964107	2.16717559
1	0.4557414557	2.060444803
2	0.5002145002	1.963338678
3	0.5208065208	1.88714849
4	0.5411125411	1.819482404
5	0.5501215501	1.759206211
6	0.5584155584	1.706503008
7	0.5757185757	1.656558804
8	0.5852995853	1.60980263
9	0.597025597	1.571695672
10	0.6001716002	1.536861918
11	0.6098956099	1.504711869
12	0.6164736165	1.472735314
13	0.6236236236	1.445311171
14	0.6293436293	1.41751158
15	0.6349206349	1.390193381
16	0.6379236379	1.366673128
17	0.6483626484	1.337948939
18	0.6507936508	1.315175558
19	0.6527956528	1.296318121
20	0.6586586587	1.274625591
21	0.6616616617	1.257458505
22	0.6676676677	1.239661064
23	0.6713856714	1.223731248
24	0.672958673	1.207581604
25	0.6766766767	1.192380351
26	0.6775346775	1.180827408
27	0.6793936794	1.166420298
28	0.6798226798	1.154863018
29	0.6835406835	1.139296715
30	0.6912626913	1.125458188
31	0.6954096954	1.110680333
32	0.6968396968	1.100167781
33	0.6978406978	1.089944022
34	0.7044187044	1.077200019
35	0.7041327041	1.066222836
36	0.7051337051	1.055947713
37	0.7094237094	1.047324349
38	0.7141427141	1.034704041
39	0.7154297154	1.026844112
40	0.717002717	1.019526195
41	0.721006721	1.011220088
42	0.7222937223	1.003564524
43	0.727012727	0.9921224819
44	0.7294437294	0.9844001096
45	0.7327327327	0.9746089798
46	0.7345917346	0.9655523787
47	0.7371657372	0.9575734651
48	0.7407407407	0.9504891688
49	0.7415987416	0.9439291773
50	0.7441727442	0.9357225432
51	0.7466037466	0.9260447967
52	0.7504647505	0.9173679508
53	0.754039754	0.9111915909
54	0.7551837552	0.9046170405
55	0.7574717575	0.9000887012
56	0.7593307593	0.8952572389
57	0.7597597598	0.8899568296
58	0.7603317603	0.8839406916
59	0.7643357643	0.8786915878
60	0.7660517661	0.8717009741
61	0.7671957672	0.8670114826
62	0.7694837695	0.8619506954
63	0.7693407693	0.8563981419
64	0.7710567711	0.8502308827
65	0.7740597741	0.8440320131
66	0.7753467753	0.8394643445
67	0.7753467753	0.8343817568
68	0.7787787788	0.8288996538
69	0.7794937795	0.8240912492
70	0.7803517804	0.8193614303
71	0.7812097812	0.8146165307
72	0.7843557844	0.8083862756
73	0.7850707851	0.803431413
74	0.7867867868	0.8001903062
75	0.7862147862	0.7958540283
76	0.7872157872	0.7917293763
77	0.7896467896	0.7858041675
78	0.7906477906	0.7815173376
79	0.7913627914	0.777029288
80	0.7930787931	0.7723928605
81	0.7940797941	0.7692832933
82	0.7942227942	0.7664477232
83	0.7969397969	0.7625208891
84	0.8008008008	0.7565644098
85	0.8019448019	0.7530315394
86	0.8040898041	0.7499656925
87	0.8036608037	0.7463491793
88	0.8045188045	0.7438222598
89	0.8048048048	0.7399269459
90	0.8062348062	0.7358594384
91	0.8073788074	0.732807167
92	0.8083798084	0.7293783999
93	0.8102388102	0.7263461334
94	0.8092378092	0.7217955091
95	0.8118118118	0.7181732127
96	0.8126698127	0.7139083061
97	0.815958816	0.7096548714
98	0.8163878164	0.7073006023
99	0.818961819	0.7030424719
100	0.8186758187	0.6999390305
101	0.8193908194	0.6964030874
102	0.8206778207	0.6920944939
103	0.8223938224	0.6896355609
104	0.8231088231	0.6865229588
105	0.8251108251	0.6819461807
106	0.8266838267	0.6790596422
107	0.827970828	0.6757262602
108	0.8285428285	0.6734786971
109	0.8296868297	0.6699935429
110	0.8311168311	0.6665259697
111	0.8316888317	0.66387278
112	0.8318318318	0.6618430185
113	0.8341198341	0.6572547019
114	0.835978836	0.6528610908
115	0.8372658373	0.6490849823
116	0.8392678393	0.6462301031
117	0.8401258401	0.6433833656
118	0.8418418418	0.6412753857
119	0.8431288431	0.6386374806
120	0.8426998427	0.6359554538
121	0.8438438438	0.6335264612
122	0.8452738453	0.6310941999
123	0.8458458458	0.6286948339
124	0.845988846	0.6273149598
125	0.8462748463	0.6250135044
126	0.8478478478	0.6224021814
127	0.8485628486	0.6186044727
128	0.8498498498	0.6156491535
129	0.8521378521	0.6125178625
130	0.8528528529	0.6103873408
131	0.8525668526	0.6085220512
132	0.8528528529	0.6069333563
133	0.8548548549	0.6046400176
134	0.856999857	0.6008441769
135	0.8574288574	0.5981479411
136	0.859001859	0.5947766735
137	0.8605748606	0.5917237468
138	0.8608608609	0.5900404613
139	0.8604318604	0.5877945926
140	0.8615758616	0.5856147652
141	0.8632918633	0.5828713376
142	0.8634348634	0.5806897331
