iter	Passed	Remaining
0	242	242068
1	342	171107
2	437	145398
3	541	134751
4	651	129646
5	747	123855
6	842	119448
7	935	115995
8	1037	114244
9	1140	112879
10	1246	112101
11	1339	110298
12	1434	108930
13	1536	108245
14	1629	107025
15	1726	106166
16	1824	105471
17	1922	104891
18	2018	104241
19	2114	103611
20	2211	103093
21	2304	102466
22	2397	101859
23	2494	101460
24	2592	101096
25	2685	100621
26	2781	100232
27	2874	99783
28	2966	99328
29	3064	99095
30	3172	99174
31	3269	98903
32	3361	98513
33	3454	98139
34	3551	97911
35	3642	97534
36	3737	97265
37	3832	97025
38	3930	96846
39	4023	96573
40	4119	96348
41	4212	96094
42	4308	95888
43	4416	95955
44	4511	95753
45	4608	95579
46	4707	95457
47	4805	95299
48	4903	95169
49	4996	94936
50	5095	94821
51	5190	94635
52	5284	94421
53	5374	94159
54	5465	93910
55	5554	93626
56	5643	93369
57	5735	93160
58	5829	92980
59	5919	92731
60	6020	92680
61	6116	92531
62	6209	92361
63	6306	92231
64	6399	92056
65	6496	91930
66	6588	91740
67	6680	91560
68	6768	91325
69	6859	91130
70	6950	90937
71	7050	90868
72	7146	90748
73	7236	90549
74	7324	90340
75	7419	90200
76	7515	90085
77	7607	89921
78	7700	89773
79	7789	89578
80	7878	89387
81	7968	89209
82	8059	89039
83	8154	88924
84	8252	88830
85	8344	88684
86	8436	88531
87	8531	88419
88	8622	88263
89	8713	88100
90	8803	87942
91	8891	87750
92	8983	87608
93	9073	87454
94	9165	87313
95	9255	87154
96	9348	87028
97	9441	86897
98	9532	86759
99	9626	86639
100	9717	86494
101	9807	86344
102	9897	86198
103	9991	86082
104	10086	85978
105	10184	85894
106	10274	85747
107	10363	85598
108	10453	85447
109	10547	85335
110	10644	85250
111	10749	85230
112	10856	85220
113	10954	85133
114	11050	85041
115	11149	84968
116	11243	84852
117	11336	84735
118	11429	84616
119	11525	84523
120	11623	84441
121	11718	84336
122	11821	84286
123	11916	84185
124	12014	84103
125	12109	83998
126	12205	83902
127	12309	83855
128	12411	83800
129	12510	83723
130	12605	83622
131	12700	83513
132	12794	83403
133	12887	83287
134	12986	83207
135	13081	83103
136	13177	83011
137	13271	82900
138	13365	82791
139	13458	82675
140	13554	82577
141	13649	82474
142	13743	82363
143	13839	82267
144	13935	82171
145	14033	82084
146	14132	82007
147	14229	81913
148	14326	81822
149	14421	81719
150	14511	81593
151	14610	81510
152	14707	81418
153	14810	81359
154	14916	81318
155	15014	81233
156	15109	81128
157	15201	81012
158	15295	80904
159	15393	80814
160	15491	80731
161	15590	80645
162	15683	80533
163	15778	80430
164	15878	80354
165	15970	80236
166	16065	80136
167	16166	80061
168	16264	79974
169	16359	79872
170	16456	79779
171	16552	79681
172	16649	79590
173	16749	79510
174	16844	79409
175	16938	79305
176	17031	79193
177	17126	79091
178	17219	78979
179	17314	78876
180	17406	78764
181	17496	78640
182	17586	78514
183	17683	78420
184	17774	78305
185	17867	78192
186	17965	78107
187	18059	77999
188	18150	77881
189	18249	77802
190	18343	77695
191	18434	77578
192	18529	77477
193	18621	77364
194	18712	77249
195	18809	77155
196	18902	77049
197	18998	76953
198	19091	76844
199	19186	76747
200	19281	76646
201	19380	76561
202	19479	76478
203	19575	76383
204	19668	76276
205	19770	76201
206	19874	76137
207	19974	76055
208	20070	75959
209	20166	75864
210	20262	75766
211	20355	75660
212	20451	75564
213	20544	75459
214	20637	75350
215	20730	75245
216	20826	75148
217	20922	75050
218	21016	74950
219	21113	74856
220	21209	74761
221	21305	74666
222	21401	74570
223	21497	74474
224	21589	74364
225	21680	74251
226	21773	74144
227	21870	74051
228	21967	73961
229	22062	73861
230	22156	73758
231	22258	73682
232	22355	73590
233	22454	73503
234	22547	73398
235	22636	73280
236	22726	73165
237	22818	73056
238	22909	72944
239	23005	72850
240	23101	72754
241	23199	72666
242	23310	72618
243	23404	72516
244	23503	72428
245	23608	72359
246	23708	72278
247	23800	72167
248	23913	72124
249	24006	72020
250	24104	71930
251	24205	71849
252	24296	71737
253	24391	71637
254	24487	71540
255	24582	71443
256	24677	71343
257	24771	71243
258	24864	71137
259	24956	71030
260	25050	70928
261	25147	70835
262	25245	70745
263	25362	70708
264	25459	70612
265	25549	70501
266	25641	70393
267	25733	70286
268	25824	70178
269	25917	70073
270	26013	69977
271	26107	69875
272	26201	69774
273	26298	69682
274	26392	69580
275	26486	69479
276	26578	69373
277	26671	69268
278	26766	69170
279	26859	69067
280	26953	68966
281	27049	68870
282	27145	68775
283	27251	68703
284	27346	68606
285	27452	68536
286	27549	68442
287	27640	68332
288	27734	68233
289	27828	68133
290	27921	68028
291	28020	67939
292	28115	67842
293	28211	67747
294	28308	67653
295	28404	67556
296	28497	67452
297	28585	67339
298	28681	67243
299	28775	67141
300	28868	67040
301	28962	66940
302	29055	66837
303	29148	66733
304	29245	66641
305	29346	66557
306	29442	66462
307	29547	66385
308	29640	66284
309	29732	66179
310	29822	66070
311	29918	65973
312	30019	65889
313	30113	65789
314	30208	65690
315	30305	65598
316	30404	65507
317	30508	65430
318	30603	65331
319	30699	65237
320	30800	65150
321	30911	65086
322	31008	64993
323	31103	64894
324	31196	64791
325	31298	64709
326	31400	64626
327	31500	64537
328	31603	64455
329	31707	64374
330	31802	64276
331	31902	64189
332	32001	64098
333	32097	64002
334	32194	63908
335	32289	63809
336	32389	63721
337	32484	63623
338	32595	63557
339	32685	63448
340	32777	63344
341	32870	63241
342	32968	63148
343	33060	63046
344	33187	63007
345	33290	62925
346	33391	62838
347	33486	62739
348	33582	62643
349	33677	62543
350	33776	62452
351	33871	62353
352	33971	62265
353	34071	62175
354	34169	62083
355	34280	62012
356	34404	61967
357	34504	61877
358	34618	61811
359	34720	61725
360	34822	61639
361	34920	61544
362	35013	61442
363	35108	61342
364	35203	61243
365	35296	61142
366	35402	61061
367	35495	60958
368	35587	60854
369	35685	60761
370	35782	60665
371	35879	60570
372	35975	60472
373	36069	60373
374	36172	60287
375	36273	60198
376	36373	60108
377	36474	60018
378	36565	59912
379	36662	59817
380	36759	59721
381	36851	59618
382	36944	59516
383	37040	59419
384	37135	59319
385	37231	59223
386	37326	59124
387	37424	59030
388	37510	58918
389	37593	58800
390	37682	58692
391	37766	58577
392	37853	58466
393	37941	58356
394	38027	58245
395	38115	58135
396	38204	58028
397	38293	57921
398	38382	57814
399	38475	57712
400	38565	57608
401	38653	57499
402	38735	57383
403	38827	57280
404	38912	57168
405	38999	57058
406	39091	56956
407	39188	56861
408	39276	56754
409	39366	56649
410	39458	56547
411	39544	56437
412	39627	56322
413	39712	56210
414	39794	56096
415	39920	56042
416	40021	55953
417	40112	55850
418	40203	55747
419	40290	55639
420	40383	55538
421	40467	55427
422	40553	55318
423	40641	55210
424	40730	55105
425	40816	54997
426	40904	54890
427	40990	54782
428	41079	54677
429	41168	54572
430	41259	54470
431	41349	54367
432	41437	54260
433	41524	54154
434	41611	54047
435	41695	53936
436	41777	53823
437	41865	53718
438	41948	53606
439	42033	53497
440	42119	53389
441	42209	53287
442	42300	53185
443	42389	53081
444	42472	52970
445	42560	52866
446	42646	52759
447	42733	52653
448	42821	52549
449	42908	52443
450	42997	52340
451	43085	52236
452	43172	52130
453	43266	52033
454	43359	51936
455	43448	51832
456	43534	51726
457	43618	51618
458	43709	51517
459	43792	51408
460	43880	51304
461	43970	51203
462	44059	51101
463	44149	51000
464	44235	50894
465	44322	50789
466	44409	50685
467	44494	50579
468	44582	50476
469	44673	50377
470	44762	50274
471	44856	50177
472	44943	50074
473	45031	49972
474	45120	49869
475	45206	49765
476	45327	49698
477	45422	49604
478	45514	49504
479	45599	49399
480	45691	49301
481	45777	49196
482	45862	49090
483	45952	48990
484	46042	48890
485	46132	48790
486	46219	48687
487	46313	48590
488	46406	48494
489	46495	48393
490	46584	48291
491	46673	48191
492	46766	48094
493	46858	47996
494	46951	47899
495	47044	47803
496	47131	47700
497	47218	47598
498	47316	47506
499	47406	47406
500	47499	47310
501	47590	47211
502	47675	47106
503	47767	47009
504	47852	46905
505	47942	46805
506	48033	46707
507	48122	46606
508	48211	46506
509	48306	46412
510	48394	46311
511	48484	46211
512	48570	46108
513	48660	46009
514	48746	45907
515	48834	45805
516	48923	45705
517	49012	45606
518	49100	45505
519	49188	45405
520	49279	45306
521	49376	45214
522	49469	45118
523	49554	45015
524	49644	44916
525	49739	44822
526	49835	44729
527	49924	44629
528	50013	44529
529	50103	44431
530	50189	44329
531	50279	44231
532	50374	44136
533	50469	44042
534	50557	43942
535	50645	43842
536	50736	43745
537	50828	43647
538	50924	43554
539	51012	43455
540	51102	43356
541	51198	43263
542	51294	43170
543	51383	43071
544	51476	42975
545	51566	42877
546	51654	42777
547	51739	42675
548	51827	42575
549	51918	42479
550	52012	42383
551	52102	42285
552	52189	42186
553	52285	42092
554	52371	41991
555	52460	41893
556	52552	41796
557	52639	41696
558	52727	41597
559	52820	41501
560	52910	41404
561	53002	41308
562	53095	41212
563	53183	41113
564	53281	41022
565	53374	40926
566	53469	40833
567	53556	40733
568	53648	40636
569	53735	40537
570	53826	40440
571	53918	40344
572	54012	40250
573	54101	40151
574	54186	40050
575	54276	39953
576	54375	39862
577	54468	39767
578	54558	39670
579	54649	39574
580	54742	39478
581	54833	39382
582	54924	39285
583	55008	39184
584	55095	39084
585	55185	38988
586	55269	38886
587	55364	38792
588	55450	38693
589	55535	38592
590	55626	38496
591	55716	38398
592	55805	38301
593	55891	38201
594	55975	38100
595	56060	38000
596	56145	37900
597	56237	37805
598	56320	37703
599	56412	37608
600	56501	37510
601	56583	37409
602	56668	37309
603	56759	37212
604	56842	37111
605	56929	37013
606	57019	36917
607	57103	36816
608	57194	36720
609	57277	36620
610	57362	36520
611	57463	36430
612	57550	36332
613	57638	36235
614	57726	36137
615	57810	36037
616	57896	35939
617	57982	35840
618	58064	35738
619	58149	35640
620	58236	35542
621	58325	35445
622	58414	35348
623	58502	35251
624	58589	35153
625	58675	35055
626	58764	34958
627	58883	34880
628	58985	34790
629	59070	34692
630	59157	34594
631	59243	34496
632	59334	34400
633	59422	34303
634	59513	34208
635	59600	34110
636	59688	34013
637	59773	33915
638	59859	33817
639	59945	33719
640	60032	33622
641	60123	33526
642	60215	33432
643	60304	33335
644	60393	33239
645	60483	33144
646	60575	33049
647	60661	32951
648	60745	32853
649	60832	32756
650	60920	32659
651	61008	32563
652	61094	32465
653	61178	32366
654	61263	32268
655	61349	32171
656	61435	32073
657	61518	31974
658	61608	31879
659	61696	31783
660	61782	31685
661	61868	31588
662	61957	31492
663	62045	31396
664	62132	31299
665	62222	31204
666	62310	31108
667	62400	31013
668	62487	30916
669	62576	30821
670	62665	30725
671	62759	30632
672	62842	30534
673	62927	30436
674	63015	30340
675	63100	30243
676	63187	30146
677	63277	30051
678	63365	29956
679	63456	29861
680	63537	29762
681	63632	29670
682	63720	29574
683	63806	29478
684	63896	29382
685	63984	29287
686	64070	29190
687	64161	29096
688	64250	29001
689	64339	28906
690	64422	28808
691	64509	28712
692	64600	28618
693	64682	28520
694	64772	28425
695	64861	28330
696	64942	28231
697	65030	28136
698	65117	28040
699	65200	27942
700	65285	27846
701	65367	27748
702	65454	27653
703	65536	27555
704	65625	27460
705	65716	27366
706	65800	27269
707	65888	27174
708	65972	27077
709	66061	26982
710	66149	26887
711	66239	26793
712	66325	26697
713	66408	26600
714	66493	26504
715	66573	26406
716	66661	26311
717	66750	26216
718	66839	26122
719	66925	26026
720	67013	25931
721	67106	25838
722	67200	25746
723	67286	25650
724	67377	25557
725	67464	25461
726	67543	25363
727	67637	25271
728	67725	25176
729	67813	25081
730	67904	24988
731	67987	24891
732	68076	24797
733	68163	24702
734	68247	24606
735	68332	24510
736	68423	24416
737	68510	24322
738	68598	24227
739	68686	24133
740	68781	24041
741	68870	23947
742	68952	23850
743	69039	23755
744	69125	23660
745	69211	23565
746	69298	23470
747	69383	23375
748	69472	23281
749	69559	23186
750	69649	23092
751	69731	22996
752	69821	22903
753	69903	22806
754	69995	22713
755	70079	22618
